product_id,product (brand),category,sub_category
P0000,"	serum	 (Livon)",Fruits & Vegetables,Herbs & Seasonings
P0001,"hand wash -	 moisture Shield (Savlon)",Beauty & Hygiene,Hair Care
P0002,"good 		day butter Cookies (Britannia)",Beauty & Hygiene,Bath & Hand Wash
P0004,"Happy 		Happy Choco-Chip Cookies (Parle)",Snacks & Branded Foods,Biscuits & Cookies
P0005, 50-50 Timepass salted biscuits (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0006, tiger Elaichi Cream Biscuits (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0007,"bounce 	Biscuits - Choco Creme (Sunfeast)",Snacks & Branded Foods,Biscuits & Cookies
P0008,50-50 Timepass Biscuits (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0009,Tiger Chocolate Cream Biscuits (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0010,Biscuits - Magix Kreams Choc (Parle),Snacks & Branded Foods,Biscuits & Cookies
P0011,Dreams Cup Cake - Choco (Elite),Snacks & Branded Foods,Biscuits & Cookies
P0012,Layer Cake - Chocolate (Winkies),"Bakery, Cakes & Dairy",Cakes & Pastries
P0013,Layer Cake - Orange (Winkies),"Bakery, Cakes & Dairy",Cakes & Pastries
P0014,Sugar Coated Chocolate (Cadbury Gems),"Bakery, Cakes & Dairy",Cakes & Pastries
P0015,Cadbury Perk - Chocolate Bar (Cadbury),Snacks & Branded Foods,Chocolates & Candies
P0016,Polo - The Mint With The Hole (Nestle ),Snacks & Branded Foods,Chocolates & Candies
P0017,Orbit Sugar-Free Chewing Gum - Lemon & Lime (Wrigleys),Snacks & Branded Foods,Chocolates & Candies
P0018,Sugar Free Chewing Gum - Mixed Fruit (Orbit),Snacks & Branded Foods,Chocolates & Candies
P0019,Chewing Gum - Peppermint (Doublemint),Snacks & Branded Foods,Chocolates & Candies
P0020,"Tomato - Local, Organically Grown (Fresho)",Snacks & Branded Foods,Chocolates & Candies
P0021,"Tomato - Local, Organically Grown (Fresho)",Fruits & Vegetables,Fresh Vegetables
P0022,Marie Light Biscuits - Active (Sunfeast),Fruits & Vegetables,Organic Fruits & Vegetables
P0023,Fulltoss Thai Sriracha (Parle),Snacks & Branded Foods,Ready To Cook & Eat
P0024,Fulltoss Tangy Tomato (Parle),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0025,Exam Standard Scale (Camlin),Gourmet & World Food,"Snacks, Dry Fruits, Nuts"
P0026,Dish Shine Bar (Exo),Cleaning & Household,Stationery
P0027,Marigold Flower - Orange (Fresho),Cleaning & Household,Detergents & Dishwash
P0028,Tomato - Green (Fresho),Fruits & Vegetables,"Flower Bouquets, Bunches"
P0029,"Chilli - Green, Organically Grown (Fresho)",Fruits & Vegetables,Fresh Vegetables
P0030,Ginger - Organically Grown (Fresho),Fruits & Vegetables,Herbs & Seasonings
P0031,"Chilli - Green, Organically Grown (Fresho)",Fruits & Vegetables,Herbs & Seasonings
P0032,Ginger - Organically Grown (Fresho),Fruits & Vegetables,Organic Fruits & Vegetables
P0033,Blue Detergent Bar (Wheel ),Fruits & Vegetables,Organic Fruits & Vegetables
P0035,"Tomato - Hybrid, Organically Grown (Fresho)",Cleaning & Household,Detergents & Dishwash
P0036,"Tomato - Hybrid, Organically Grown (Fresho)",Fruits & Vegetables,Fresh Vegetables
P0037,Crackers - Cheese & Sugar (Gery Gone Mad),Fruits & Vegetables,Organic Fruits & Vegetables
P0038,Munch Crisp-Pop Chocolate Coated Crunchy Wafer (Nestle ),Gourmet & World Food,Chocolates & Biscuits
P0039,Herbal Apple Massage Cream (Olivia),Snacks & Branded Foods,Chocolates & Candies
P0040,Milk Shakti Biscuits - With The Goodness Of Milk (Parle),Beauty & Hygiene,Skin Care
P0041,Roll Yo! Strawberry Swiss Roll (Britannia),Snacks & Branded Foods,Biscuits & Cookies
P0042,"Mint - Sugarfree, Fruity Flavour (Center Fresh)","Bakery, Cakes & Dairy",Cakes & Pastries
